26,94
224,45
156,10
92,78
122,63
51,78
285,42
245,2
270,15
140,77
33,58
270,9
249,62
71,92
240,79
85,88
17,77
1,2
123,83
181,96
101,13
24,14
270,23
188,3
246,75
74,97
18,88
49,76
27,80
167,64
239,87
131,2
195,57
15,34
264,66
41,78
58,16
70,62
35,26
287,50
70,91
33,39
13,10
190,89
15,21
55,3
140,37
76,7
179,40
34,20
81,29
130,72
68,48
191,59
147,79
63,86
182,20
182,6
240,61
130,23
223,28
184,73
272,33
152,68
247,60
127,55
24,8
295,98
207,61
161,21
57,42
205,16
56,50
87,8
243,15
189,31
109,38
127,50
271,3
147,38
108,89
249,36
285,75
31,84
106,52
60,3
81,65
207,3
245,81
167,66
120,93
93,83
28,16
185,68
18,79
34,12
108,99
136,84
74,71
252,8
129,10
184,21
218,96
44,51
281,39
91,1
145,20
209,23
79,10
109,26
286,91
134,77
192,13
217,59
49,31
84,33
10,85
87,16
259,25
71,34
252,70
138,66
85,63
206,42
299,8
86,66
84,43
202,10
33,60
215,73
190,17
15,53
61,58
294,19
243,35
45,7
19,87
169,59
58,80
90,76
38,56
67,95
60,23
70,26
179,6
187,65
34,54
124,76
81,82
221,97
155,36
256,28
198,41
210,3
181,54
96,20
65,53
155,47
275,25
251,66
165,94
27,49
213,82
182,86
254,67
108,47
71,64
218,93
290,71
60,48
235,32
236,50
65,45
240,64
229,44
119,7
17,15
201,14
182,13
106,70
94,22
192,50
163,68
194,73
148,39
235,3
196,87
125,70
146,81
208,52
261,35
115,62
29,65
174,2
29,70
60,98
138,32
274,42
191,75
145,15
296,20
263,24
120,76
295,86
153,11
141,95
283,98
112,56
10,27
39,16
253,90
225,74
86,51
107,3
151,36
271,43
181,85
10,33
239,53
204,69
90,70
27,76
215,51
184,97
239,76
22,18
294,36
153,94
57,11
62,71
231,92
197,96
117,90
32,83
230,53
251,61
112,81
255,98
100,19
62,13
196,68
231,88
195,24
41,55
228,14
298,30
242,6
294,55
253,66
54,19
81,52
120,89
154,75
171,9
123,28
248,4
189,85
100,80
128,26
67,72
6,75
17,22
266,41
15,5
115,52
225,99
293,41
112,27
110,48
141,79
288,41
237,16
255,19
226,34
95,51
61,66
17,67
282,14
10,58
48,12
80,35
249,85
167,75
193,82
91,64
102,77
234,54
297,12
82,9
154,43
166,86
57,21
291,97
150,72
190,93
19,96
53,46
120,23
24,20
275,37
121,55
186,75
123,44
16,17
109,17
181,77
178,47
216,44
73,6
284,58
245,75
214,48
23,90
81,87
274,52
122,28
289,62
11,40
2,38
69,89
147,59
159,66
226,26
182,43
124,33
63,21
99,36
132,64
192,65
288,36
229,59
169,17
207,33
126,60
122,34
250,55
68,41
140,26
113,76
60,74
78,48
245,77
168,89
239,55
164,32
152,72
4,26
78,78
167,80
157,50
144,79
21,4
42,15
289,45
161,71
94,47
219,39
113,3
22,76
255,97
270,4
218,76
244,87
103,55
212,89
141,20
59,15
184,6
56,64
244,38
197,44
139,26
224,57
26,64
229,27
155,67
58,59
179,87
55,91
192,48
41,43
242,11
100,53
133,32
266,70
286,50
124,27
117,32
111,63
11,30
177,54
288,11
195,35
260,91
34,66
58,86
